city,country,stationName,stationNumber,latitude,longitude,
昆明市,石林县,圭山镇政府,T5265,243851,1033310,2438511033310
昆明市,呈贡区,斗南社区居委会,T5266,245429,1024731,2454291024731
昆明市,呈贡区,下庄社区居委会,T5267,245308,1024917,2453081024917
昆明市,呈贡区,下可乐社区居委会,T5268,245402,1024630,2454021024630
昆明市,呈贡区,云师大集贤街口,T5269,245136,1025059,2451361025059
昆明市,西山区,马岭坡,T5270,250230,1023947,2502301023947
昆明市,西山区,棋台,T5271,250654,1023400,2506541023400
昆明市,五华区,迤六,T5272,250159,1023017,2501591023017
昆明市,五华区,瓦恭,T5273,251724,1023613,2517241023613
昆明市,盘龙区,鼓楼,T5274,250256,1024301,2502561024301
昆明市,盘龙区,东华,T5275,250253,1024431,2502531024431
昆明市,富民县,黄坡,T5276,251127,1023147,2511271023147
昆明市,富民县,麦依甸,T5277,251712,1023311,2517121023311
昆明市,富民县,麦场,T5278,250945,1023202,2509451023202
昆明市,富民县,大风丫口,T5279,251122,1022905,2511221022905
昆明市,富民县,龙马,T5280,251557,1022609,2515571022609
昆明市,富民县,麻地,T5281,252327,1022706,2523271022706
昆明市,富民县,阿纳宰,T5282,252520,1023449,2525201023449
昆明市,富民县,普桥,T5283,252234,1023317,2522341023317
昆明市,富民县,龙潭,T5284,252507,1023110,2525071023110
昆明市,富民县,杜朗,T5285,253150,1023809,2531501023809
昆明市,富民县,新民,T5286,252756,1024615,2527561024615
昆明市,富民县,宜格,T5287,252824,1023557,2528241023557
昆明市,富民县,和平,T5288,252735,1023720,2527351023720
昆明市,富民县,芭蕉箐,T5289,253514,1024152,2535141024152
昆明市,富民县,翟家村,T5290,252114,1024210,2521141024210
昆明市,富民县,门前地,T5291,252007,1023839,2520071023839
昆明市,呈贡区,松茂水库,T5292,245254,1025306,2452541025306
昆明市,呈贡区,七甸野竹村,T5293,245429,1025708,2454291025708
昆明市,呈贡区,七甸水塘村,T5294,245636,1025748,2456361025748
昆明市,呈贡区,七甸奇泉水厂,T5295,245748,1025649,2457481025649
昆明市,呈贡区,七甸大哨村,T5296,245723,1025801,2457231025801
昆明市,呈贡区,七甸胡家村,T5297,245340,1025852,2453401025852
昆明市,呈贡区,阳宗管委会,T5153,244903,1025826,2449031025826
昆明市,呈贡区,阳宗管委会,T5154,244705,1025538,2447051025538
昆明市,呈贡区,吴家营街道,T5155,245100,1025422,2451001025422
昆明市,呈贡区,雨花街道,T5156,245135,1024719,2451351024719
昆明市,呈贡区,吴家营街道,T5157,245229,1024843,2452291024843
昆明市,呈贡区,雨花街道,T5158,244906,1024951,2449061024951
昆明市,呈贡区,雨花街道,T5159,245009,1024848,2450091024848
昆明市,呈贡区,斗南街道,T5160,245255,1024702,2452551024702
昆明市,呈贡区,洛龙街道,T5161,245236,1025146,2452361025146
昆明市,呈贡区,吴家营街道,T5162,245048,1025024,2450481025024
昆明市,寻甸县,道院村,T4614,253310,1031718,2533101031718
昆明市,寻甸县,和平,T4615,252950,1031524,2529501031524
昆明市,寻甸县,坝者,T4616,252831,1031912,2528311031912
昆明市,寻甸县,摆宰,T4617,253933,1031141,2539331031141
昆明市,寻甸县,长箐村,T4618,253727,1025129,2537271025129
昆明市,寻甸县,松林村,T4619,253308,1025420,2533081025420
昆明市,寻甸县,木刻村,T4620,253033,1025348,2530331025348
昆明市,寻甸县,橫山村,T4621,254301,1032012,2543011032012
昆明市,寻甸县,纲纪村,T4622,254658,1032101,2546581032101
昆明市,寻甸县,白龙村,T4623,254905,1032000,2549051032000
昆明市,寻甸县,尹武村,T4624,254839,1032550,2548391032550
昆明市,寻甸县,以则村,T4625,254029,1031549,2540291031549
昆明市,寻甸县,马嘎村,T4626,254308,1031115,2543081031115
昆明市,寻甸县,八岔哨村,T4627,254740,1031630,2547401031630
昆明市,寻甸县,鲁冲,T4628,253636,1032014,2536361032014
昆明市,寻甸县,化桃箐,T4629,254148,1032348,2541481032348
昆明市,寻甸县,海嘎,T4630,254528,1032600,2545281032600
昆明市,寻甸县,水冒田,T4631,254005,1032750,2540051032750
昆明市,寻甸县,打磨箐村,T4632,252715,1025742,2527151025742
昆明市,寻甸县,大窝铺村,T4633,253144,1025827,2531441025827
昆明市,寻甸县,五星村,T4634,254125,1025622,2541251025622
昆明市,寻甸县,龙泉村,T4635,253708,1025454,2537081025454
昆明市,寻甸县,古城,T4636,253729,1024738,2537291024738
昆明市,寻甸县,彩己,T4637,254145,1024817,2541451024817
昆明市,寻甸县,鲁六村,T4638,253913,1030409,2539131030409
昆明市,寻甸县,兴隆村,T4639,254453,1030618,2544531030618
昆明市,寻甸县,治租村,T4640,254145,1030201,2541451030201
昆明市,西山区,海口中平,T4645,244753,1023241,2447531023241
昆明市,西山区,团结大兴,T4647,245943,1023328,2459431023328
昆明市,西山区,团结和平,T4648,250421,1023233,2504211023233
昆明市,西山区,团结雨花,T4649,250460,1023514,2504601023514
昆明市,西山区,团结永靖,T4650,250708,1023326,2507081023326
昆明市,度假区,大渔月角,T4651,244956,1024739,2449561024739
昆明市,盘龙区,阿子营牧羊,T4654,252342,1025017,2523421025017
昆明市,盘龙区,阿子营甸头,T4655,252452,1025045,2524521025045
昆明市,盘龙区,双龙麦冲,T4656,250519,1024746,2505191024746
昆明市,盘龙区,滇源小营,T4657,251454,1025126,2514541025126
昆明市,盘龙区,滇源三转弯,T4658,252310,1025155,2523101025155
昆明市,五华区,东村村,T4661,294344,1214111,2943441214111
昆明市,呈贡区,北斗村,T4664,245047,1025853,2450471025853
昆明市,呈贡区,铜牛寺水库,T4665,250214,1025015,2502141025015
昆明市,呈贡区,前所村,T4666,245905,1030021,2459051030021
昆明市,呈贡区,阿色村,T4667,250117,1030241,2501171030241
昆明市,呈贡区,宰割村,T4668,250217,1030604,2502171030604
